inventory,N,s,z,degree,E,d0_residual,magnitude_min,magnitude_max,magnitude_range
primes,2,(1.25+0j),0.15,2,0.002832715277032613,0.0,0.8987837900645664,0.9038902523640641,0.005106462299497627
primes,2,(1.25+0j),0.35,2,0.01788496769138703,0.0,0.7633397939009762,0.7911416441982416,0.02780185029726545
primes,2,(1.25+0j),0.6,2,0.06442464059634638,0.0,0.5932488261523617,0.6749522229443253,0.08170339679196359
primes,2,(1.5+0j),0.15,2,0.0018234758893001532,0.0,0.9179534851628142,0.9213073329187202,0.003353847755906081
primes,2,(1.5+0j),0.35,2,0.0111717336209512,0.0,0.8081039322594573,0.826363770041613,0.018259837782155675
primes,2,(1.5+0j),0.6,2,0.03850058673548791,0.0,0.6700620271866932,0.7237235912811916,0.053661564094498404
primes,2,(2+0j),0.15,2,0.0007750018343238682,0.0,0.9457248263888889,0.9471918402777777,0.001467013888888813
primes,2,(2+0j),0.35,2,0.00455356278758765,0.0,0.8730203510802469,0.8810074266975308,0.007987075617283956
primes,2,(2+0j),0.6,2,0.014793417366946778,0.0,0.7815972222222223,0.8050694444444444,0.023472222222222117
primes,2,(1.5+0.75j),0.15,2,0.0017543610826772206,0.0,0.9341987049018472,0.9374823035813802,0.003283598679532984
primes,2,(1.5+0.75j),0.35,2,0.010455560892994775,0.0,0.8459844117896859,0.8638618110407614,0.017877399251075565
primes,2,(1.5+0.75j),0.6,2,0.034503557624203186,0.0,0.7350681641693297,0.7876058084405004,0.05253764427117069
composites,2,(1.25+0j),0.15,2,0.000471172345136239,0.0,0.9574821297735588,0.9583848333035209,0.0009027035299620234
composites,2,(1.25+0j),0.35,2,0.0027208387104860937,0.0,0.9007051835691826,0.9056199027878651,0.004914719218682473
composites,2,(1.25+0j),0.6,2,0.008629880771048124,0.0,0.829595059184768,0.844038315664161,0.01444325647939304
composites,2,(1.5+0j),0.15,2,0.00021582361673672888,0.0,0.9710255436398141,0.9714447746093025,0.00041923096948837113
composites,2,(1.5+0j),0.35,2,0.001222568282131505,0.0,0.932336160186178,0.9346186399089474,0.002282479722769404
composites,2,(1.5+0j),0.6,2,0.0037801034342159036,0.0,0.8838831853761865,0.8905908808879989,0.006707695511812384
composites,2,(2+0j),0.15,2,4.647167262823982e-05,0.0,0.9864515516493055,0.986543240017361,9.168836805550917e-05
composites,2,(2+0j),0.35,2,0.0002576833899172575,0.0,0.9683658552758488,0.968865047501929,0.0004991922260801918
composites,2,(2+0j),0.6,2,0.0007750018343238682,0.0,0.9457248263888889,0.9471918402777777,0.001467013888888813
composites,2,(1.5+0.75j),0.15,2,0.0002076317926359009,0.0,0.9882044369644315,0.9886148875029744,0.0004104505385429391
composites,2,(1.5+0.75j),0.35,2,0.0011476465162501572,0.0,0.972473019962186,0.9747076936891885,0.0022346737270024786
composites,2,(1.5+0.75j),0.6,2,0.003434379508645805,0.0,0.952814708549955,0.9593818397012888,0.006567131151333783
shuffled_primes,2,(1.25+0j),0.15,2,6.420853487897309e-07,0.0,0.9983983634504653,0.9983996455652114,1.2821147461483662e-06
shuffled_primes,2,(1.25+0j),0.35,2,3.5032847709086563e-06,0.0,0.9962618668729076,0.9962688472754141,6.980402506462369e-06
