variant,seed,s,theta,cutoff,z_label,value_real,value_imag,value_abs,coefficient_l1,tail_l2_last4,minimum_root_modulus
constant_roof,,0.0,0.0,16,z050i,0.7909222112644728,-0.010386848264658145,0.7909904113757362,0.5897156252046892,1.9322431917646158e-12,1.6181063465930823
constant_roof,,0.0,0.0,16,z035p035i,0.8380170764546799,0.15343415516455264,0.8519475690444271,0.5897156252046892,1.9322431917646158e-12,1.6181063465930823
constant_roof,,0.0,0.0,20,z025,1.0000639859254579,0.10870658123471257,1.0059548184430818,0.5897156252046896,2.100790377642143e-16,1.6181063465934866
constant_roof,,0.0,0.0,20,z050,1.0076080327313834,0.21785210414680328,1.0308896579682998,0.5897156252046896,2.100790377642143e-16,1.6181063465934866
constant_roof,,0.0,0.0,20,z050i,0.7909222112644728,-0.010386848264658145,0.7909904113757362,0.5897156252046896,2.100790377642143e-16,1.6181063465934866
constant_roof,,0.0,0.0,20,z035p035i,0.8380170764546799,0.15343415516455264,0.8519475690444271,0.5897156252046896,2.100790377642143e-16,1.6181063465934866
constant_roof,,0.0,1.0,8,z025,0.9460133081085571,0.09269906047436982,0.9505442098773348,0.5851798562553294,0.0031150367724603416,1.5019635641205755
constant_roof,,0.0,1.0,8,z050,0.9006836751312435,0.18362441687435996,0.9192110797419557,0.5851798562553294,0.0031150367724603416,1.5019635641205755
constant_roof,,0.0,1.0,8,z050i,0.8178914729910853,-0.11504529813931005,0.8259430260105657,0.5851798562553294,0.0031150367724603416,1.5019635641205755
constant_roof,,0.0,1.0,8,z035p035i,0.7869267952655721,0.058684251400299245,0.7891119201161246,0.5851798562553294,0.0031150367724603416,1.5019635641205755
constant_roof,,0.0,1.0,12,z025,0.9460133081085436,0.09269906047449906,0.9505442098773339,0.5851798983361114,3.497065712457572e-08,1.5019624445319135
