unit_size,period,source_sigma_cardinality,target,target_countably_separated,map_values,measurable,factors_through_time,factor_values,separated_implication_match,negative_nonfactor_measurable,scope
2,3,8,discrete_2,true,"0,1,1,0,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"0,1,1,0,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"0,1,1,0,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"0,1,1,1,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"0,1,1,1,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"0,1,1,1,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"0,1,1,1,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,0,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,0,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,0,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,0,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,1,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,1,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,1,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,0,1,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,0,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,0,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,0,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,0,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,1,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,1,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,1,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,0,1,1,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,0,0,0",true,true,"1,0,0",true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,0,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,0,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,0,1,1",true,true,"1,0,1",true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,1,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,1,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,1,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,0,1,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,0,0,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,0,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,0,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,0,1,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,1,0,0",true,true,"1,1,0",true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,1,0,1",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,1,1,0",false,false,,true,false,exhaustive finite countably-separated measurable control
2,3,8,discrete_2,true,"1,1,1,1,1,1",true,true,"1,1,1",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,0,0,0",true,true,"0,0,0",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,0,1,1",true,true,"0,0,1",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,1,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,0,1,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,0,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,0,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,1,0,0",true,true,"0,1,0",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,0,1,1,1,1",true,true,"0,1,1",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,0,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,0,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,1,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,0,1,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,0,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,0,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,1,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"0,1,1,1,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,0,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,0,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,1,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,0,1,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,0,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,0,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,1,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,0,1,1,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,0,0,0",true,true,"1,0,0",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,0,1,1",true,true,"1,0,1",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,1,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,0,1,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,0,0,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,0,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,0,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,0,1,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,1,0,0",true,true,"1,1,0",true,false,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,1,0,1",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,1,1,0",true,false,,true,true,exhaustive finite countably-separated measurable control
2,3,8,indiscrete_sigma_2_negative,false,"1,1,1,1,1,1",true,true,"1,1,1",true,false,exhaustive finite countably-separated measurable control
