record_type,n,m,orbit,basepoint,permutation,translation_vector,open_count_actual,open_count_standard,h1_dim_actual,h1_dim_standard,j_rank,aut_expected,aut_enumerated,basepoint_independent,joint_action_ok,lift_descend_ok,group_inverse_ok,diagonal_ok,nonzero_coboundary_ok,zero_isotropy_potential_ok,invariant_dim,mixed_length_rejected,packet_schematic_only,replaces_source_proof,status
BASEPOINT,3,3,1,2,,,2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,3,3,2,0,,,2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,3,3,2,1,,,2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,3,3,2,2,,,2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,1,0,0,,,2,32,1,1,1,5,5,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,1,0,1,,,2,32,1,1,1,5,5,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,1,0,2,,,2,32,1,1,1,5,5,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,1,0,3,,,2,32,1,1,1,5,5,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,1,0,4,,,2,32,1,1,1,5,5,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,0,0,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,0,1,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,0,2,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,0,3,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,0,4,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,1,0,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,1,1,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,1,2,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,1,3,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,2,1,4,,,2,1024,1,2,1,50,50,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,0,0,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,0,1,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,0,2,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,0,3,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,0,4,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,1,0,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,1,1,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,1,2,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,1,3,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,1,4,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,2,0,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,2,1,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,2,2,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,2,3,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,5,3,2,4,,,2,32768,1,3,1,750,750,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,0,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,1,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,2,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,3,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,4,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,5,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,1,0,6,,,2,128,1,1,1,7,7,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,0,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,1,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,2,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,3,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,4,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,5,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,0,6,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,0,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,1,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,2,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,3,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,4,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,5,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,2,1,6,,,2,16384,1,2,1,98,98,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,0,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,1,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,2,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,3,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,4,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,5,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,0,6,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,0,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,1,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,2,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,3,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,4,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,5,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,1,6,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,0,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,1,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,2,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,3,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,4,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,5,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
BASEPOINT,7,3,2,6,,,2,2097152,1,3,1,2058,2058,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,1,,,[0],[0],2,8,1,1,1,3,3,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,1,,,[0],[1],2,8,1,1,1,3,3,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,1,,,[0],[2],2,8,1,1,1,3,3,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[0,0]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[0,1]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[0,2]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[1,0]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[1,1]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[1,2]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[2,0]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[2,1]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[0,1]","[2,2]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[0,0]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[0,1]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[0,2]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[1,0]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[1,1]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[1,2]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[2,0]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[2,1]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,2,,,"[1,0]","[2,2]",2,64,1,2,1,18,18,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[0,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[1,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,1,2]","[2,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[0,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[1,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[0,2,1]","[2,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[0,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[1,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,0,2]","[2,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,2,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[0,2,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,0,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,0,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,0,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,1,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,1,1]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,1,2]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
AUT,3,3,,,"[1,2,0]","[1,2,0]",2,512,1,3,1,162,162,true,true,true,true,true,true,true,1,true,true,false,PASS
