modulus,state_count,projective_defect,s_cycle_count,s_fixed_count,s_two_cycle_count,r_cycle_count,r_fixed_count,r_three_cycle_count,forward_component_size,overlap_state_count,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8
2,3,0,2,1,1,1,0,1,3,3,1,5,7,17,31,65,127,257
3,4,0,2,0,2,2,1,1,4,4,1,7,10,15,41,58,141,255
4,6,1,3,0,3,2,0,2,6,6,0,10,12,18,60,58,196,290
5,6,0,4,2,2,2,0,2,6,6,2,8,11,20,52,71,177,292
6,12,5,6,0,6,4,0,4,12,12,0,14,15,22,75,71,245,350
7,8,0,4,0,4,4,2,2,8,8,2,12,17,24,67,81,212,344
8,12,3,6,0,6,4,0,4,12,12,0,16,18,28,90,88,294,420
9,12,2,6,0,6,4,0,4,12,12,0,18,21,30,105,93,336,462
10,18,7,10,2,8,6,0,6,18,18,2,20,23,36,107,113,338,492
11,12,0,6,0,6,4,0,4,12,12,0,14,15,18,85,47,280,306
12,24,11,12,0,12,8,0,8,24,24,0,28,30,36,150,106,448,572
13,14,0,8,2,6,6,2,4,14,14,4,18,25,38,99,129,326,534
14,24,9,12,0,12,8,0,8,24,24,0,26,27,34,135,89,406,474
15,24,8,12,0,12,8,0,8,24,24,0,26,27,30,135,77,392,438
16,24,7,12,0,12,8,0,8,24,24,0,32,36,48,180,140,560,728
17,18,0,10,2,8,6,0,6,18,18,2,20,23,32,107,95,324,432
18,36,17,18,0,18,12,0,12,36,36,0,42,45,66,225,195,714,954
19,20,0,10,0,10,8,2,6,20,20,2,24,29,36,137,105,422,532
20,36,15,18,0,18,12,0,12,36,36,0,40,42,48,210,118,616,680
21,32,10,16,0,16,12,2,10,32,32,2,36,41,48,187,135,548,680
22,36,13,18,0,18,12,0,12,36,36,0,38,39,46,195,113,588,646
23,24,0,12,0,12,8,0,8,24,24,0,26,27,30,135,71,406,430
24,48,23,24,0,24,16,0,16,48,48,0,52,54,64,270,172,798,936
25,30,4,16,2,14,10,0,10,30,30,2,40,47,68,227,211,716,996
26,42,15,22,2,20,14,0,14,42,42,2,44,47,60,227,161,688,820
27,36,8,18,0,18,12,0,12,36,36,0,42,45,54,225,153,672,822
28,48,19,24,0,24,16,0,16,48,48,0,52,54,60,270,142,784,836
29,30,0,16,2,14,10,0,10,30,30,2,32,35,44,177,119,534,620
30,72,41,36,0,36,24,0,24,72,72,0,74,75,82,375,191,1078,1122
31,32,0,16,0,16,12,2,10,32,32,2,36,41,48,197,129,590,688
32,48,15,24,0,24,16,0,16,48,48,0,56,60,80,300,224,924,1152
33,48,14,24,0,24,16,0,16,48,48,0,50,51,54,255,125,742,766
34,54,19,28,2,26,18,0,18,54,54,2,56,59,72,287,185,842,960
35,48,12,24,0,24,16,0,16,48,48,0,50,51,54,255,119,728,726
36,72,35,36,0,36,24,0,24,72,72,0,84,90,108,450,282,1344,1572
37,38,0,20,2,18,14,2,12,38,38,4,42,49,62,219,177,662,846
38,60,21,30,0,30,20,0,20,60,60,0,62,63,70,315,161,910,942
39,56,16,28,0,28,20,2,18,56,56,2,60,65,72,307,183,898,1008
40,72,31,36,0,36,24,0,24,72,72,0,76,78,88,390,208,1134,1200
41,42,0,22,2,20,14,0,14,42,42,2,44,47,56,237,143,702,776
42,96,53,48,0,48,32,0,32,96,96,0,98,99,106,495,239,1414,1434
43,44,0,22,0,22,16,2,14,44,44,2,48,53,60,247,153,716,812
44,72,27,36,0,36,24,0,24,72,72,0,76,78,84,390,190,1120,1148
45,72,26,36,0,36,24,0,24,72,72,0,78,81,90,405,213,1176,1242
46,72,25,36,0,36,24,0,24,72,72,0,74,75,82,375,185,1092,1114
47,48,0,24,0,24,16,0,16,48,48,0,50,51,54,255,119,742,742
48,96,47,48,0,48,32,0,32,96,96,0,104,108,120,540,308,1568,1760
49,56,6,28,0,28,20,2,18,56,56,2,72,83,108,397,315,1220,1580
50,90,39,46,2,44,30,0,30,90,90,2,100,107,148,527,421,1626,2076
51,72,20,36,0,36,24,0,24,72,72,0,74,75,78,375,173,1064,1062
52,84,31,42,0,42,28,0,28,84,84,0,88,90,96,450,214,1288,1304
53,54,0,28,2,26,18,0,18,54,54,2,56,59,68,287,167,828,900
54,108,53,54,0,54,36,0,36,108,108,0,114,117,138,585,351,1722,1938
55,72,16,36,0,36,24,0,24,72,72,0,74,75,78,385,167,1106,1070
56,96,39,48,0,48,32,0,32,96,96,0,100,102,112,510,256,1470,1512
57,80,22,40,0,40,28,2,26,80,80,2,84,89,96,427,231,1220,1304
58,90,31,46,2,44,30,0,30,90,90,2,92,95,108,467,257,1346,1428
59,60,0,30,0,30,20,0,20,60,60,0,62,63,66,325,143,952,930
60,144,83,72,0,72,48,0,48,144,144,0,148,150,156,750,346,2128,2132
61,62,0,32,2,30,22,2,20,62,62,4,66,73,86,349,225,1040,1190
62,96,33,48,0,48,32,0,32,96,96,0,98,99,106,495,233,1414,1410
63,96,32,48,0,48,32,0,32,96,96,0,102,105,114,525,261,1512,1554
64,96,31,48,0,48,32,0,32,96,96,0,112,120,144,600,376,1792,2080
65,84,18,44,4,40,28,0,28,84,84,4,86,91,106,439,263,1264,1386
66,144,77,72,0,72,48,0,48,144,144,0,146,147,154,735,335,2100,2074
67,68,0,34,0,34,24,2,22,68,68,2,72,77,84,367,201,1052,1124
68,108,39,54,0,54,36,0,36,108,108,0,112,114,120,570,262,1624,1616
69,96,26,48,0,48,32,0,32,96,96,0,98,99,102,495,221,1414,1390
70,144,73,72,0,72,48,0,48,144,144,0,146,147,154,735,329,2086,2034
71,72,0,36,0,36,24,0,24,72,72,0,74,75,78,385,167,1120,1086
72,144,71,72,0,72,48,0,48,144,144,0,156,162,192,810,480,2394,2664
